             A            B          C            D                              pred  similarity
176      Hanoi      Vietnam     Havana         Cuba                              Cuba    0.683181
177      Hanoi      Vietnam   Helsinki      Finland                           Finland    0.573265
178      Hanoi      Vietnam  Islamabad     Pakistan                          Pakistan    0.707338
179      Hanoi      Vietnam      Kabul  Afghanistan                       Afghanistan    0.756617
180      Hanoi      Vietnam     London      England                           Britain    0.532075
181      Hanoi      Vietnam     Madrid        Spain                             Spain    0.631869
182      Hanoi      Vietnam     Moscow       Russia                            Russia    0.692588
183      Hanoi      Vietnam       Oslo       Norway                            Norway    0.530032
184      Hanoi      Vietnam     Ottawa       Canada                            Canada    0.580263
185      Hanoi      Vietnam      Paris       France                            France    0.582192
186      Hanoi      Vietnam       Rome        Italy                             Italy    0.520840
187      Hanoi      Vietnam  Stockholm       Sweden                            Sweden    0.590929
188      Hanoi      Vietnam     Tehran         Iran                              Iran    0.738137
189      Hanoi      Vietnam      Tokyo        Japan                             Japan    0.683679
190      Hanoi      Vietnam     Athens       Greece                            Greece    0.529550
191      Hanoi      Vietnam    Baghdad         Iraq                              Iraq    0.778461
192      Hanoi      Vietnam    Bangkok     Thailand                          Thailand    0.694862
193      Hanoi      Vietnam    Beijing        China                             China    0.723439
194      Hanoi      Vietnam     Berlin      Germany                           Germany    0.597056
195      Hanoi      Vietnam       Bern  Switzerland                           Bern_NC    0.497577
196      Hanoi      Vietnam      Cairo        Egypt                             Egypt    0.702432
197      Hanoi      Vietnam   Canberra    Australia                         Australia    0.616984
198     Havana         Cuba   Helsinki      Finland                           Finland    0.697181
199     Havana         Cuba  Islamabad     Pakistan                          Pakistan    0.812372
200     Havana         Cuba      Kabul  Afghanistan                       Afghanistan    0.709292
201     Havana         Cuba     London      England                           Britain    0.621711
202     Havana         Cuba     Madrid        Spain                             Spain    0.692984
203     Havana         Cuba     Moscow       Russia                            Russia    0.823783
204     Havana         Cuba       Oslo       Norway                            Norway    0.703072
205     Havana         Cuba     Ottawa       Canada                            Canada    0.656258
206     Havana         Cuba      Paris       France                            France    0.684308
207     Havana         Cuba       Rome        Italy                             Italy    0.602585
208     Havana         Cuba  Stockholm       Sweden                            Sweden    0.730311
209     Havana         Cuba     Tehran         Iran                              Iran    0.863551
210     Havana         Cuba      Tokyo        Japan                             Japan    0.772600
211     Havana         Cuba     Athens       Greece                            Greece    0.632399
212     Havana         Cuba    Baghdad         Iraq                              Iraq    0.737104
213     Havana         Cuba    Bangkok     Thailand                          Thailand    0.795025
214     Havana         Cuba    Beijing        China                             China    0.770469
215     Havana         Cuba     Berlin      Germany                           Germany    0.695227
216     Havana         Cuba       Bern  Switzerland                       Switzerland    0.502707
217     Havana         Cuba      Cairo        Egypt                             Egypt    0.764728
218     Havana         Cuba   Canberra    Australia                         Australia    0.687773
219     Havana         Cuba      Hanoi      Vietnam                          Viet_Nam    0.710932
220   Helsinki      Finland  Islamabad     Pakistan                          Pakistan    0.729118
221   Helsinki      Finland      Kabul  Afghanistan                            Afghan    0.635965
222   Helsinki      Finland     London      England                           Britain    0.662352
223   Helsinki      Finland     Madrid        Spain                             Spain    0.753947
224   Helsinki      Finland     Moscow       Russia                            Russia    0.791893
225   Helsinki      Finland       Oslo       Norway                            Norway    0.752317
226   Helsinki      Finland     Ottawa       Canada                            Canada    0.669693
227   Helsinki      Finland      Paris       France                            France    0.754922
228   Helsinki      Finland       Rome        Italy                             Italy    0.686763
229   Helsinki      Finland  Stockholm       Sweden                            Sweden    0.825637
230   Helsinki      Finland     Tehran         Iran                              Iran    0.773271
231   Helsinki      Finland      Tokyo        Japan                             Japan    0.803025
232   Helsinki      Finland     Athens       Greece                            Greece    0.656623
233   Helsinki      Finland    Baghdad         Iraq                             Mosul    0.650697
234   Helsinki      Finland    Bangkok     Thailand                          Thailand    0.752036
235   Helsinki      Finland    Beijing        China                             China    0.756884
236   Helsinki      Finland     Berlin      Germany                           Germany    0.741947
237   Helsinki      Finland       Bern  Switzerland                       Switzerland    0.504745
238   Helsinki      Finland      Cairo        Egypt                             Egypt    0.730272
239   Helsinki      Finland   Canberra    Australia                         Australia    0.698778
240   Helsinki      Finland      Hanoi      Vietnam                          Viet_Nam    0.693160
241   Helsinki      Finland     Havana         Cuba                              Cuba    0.689974
242  Islamabad     Pakistan      Kabul  Afghanistan                            Afghan    0.733290
243  Islamabad     Pakistan     London      England                           Britain    0.605655
244  Islamabad     Pakistan     Madrid        Spain                             Spain    0.691453
245  Islamabad     Pakistan     Moscow       Russia                            Russia    0.831927
246  Islamabad     Pakistan       Oslo       Norway                            Norway    0.679567
247  Islamabad     Pakistan     Ottawa       Canada                            Canada    0.642168
248  Islamabad     Pakistan      Paris       France                            France    0.694443
249  Islamabad     Pakistan       Rome        Italy                             Italy    0.651809
250  Islamabad     Pakistan  Stockholm       Sweden                            Sweden    0.709878
251  Islamabad     Pakistan     Tehran         Iran                              Iran    0.860597
252  Islamabad     Pakistan      Tokyo        Japan                             Japan    0.774760
253  Islamabad     Pakistan     Athens       Greece                            Greece    0.641843
254  Islamabad     Pakistan    Baghdad         Iraq                             Iraqi    0.748112
255  Islamabad     Pakistan    Bangkok     Thailand                          Thailand    0.778314
256  Islamabad     Pakistan    Beijing        China                             China    0.807983
257  Islamabad     Pakistan     Berlin      Germany                           Germany    0.721654
258  Islamabad     Pakistan       Bern  Switzerland                       Switzerland    0.496833
259  Islamabad     Pakistan      Cairo        Egypt                             Egypt    0.787918
260  Islamabad     Pakistan   Canberra    Australia                         Australia    0.761633
261  Islamabad     Pakistan      Hanoi      Vietnam                          Viet_Nam    0.753436
262  Islamabad     Pakistan     Havana         Cuba                              Cuba    0.795850
263  Islamabad     Pakistan   Helsinki      Finland                           Finland    0.693510
264      Kabul  Afghanistan     London      England  EURASIAN_NATURAL_RESOURCES_CORP.    0.554758
265      Kabul  Afghanistan     Madrid        Spain                             Spain    0.615601
266      Kabul  Afghanistan     Moscow       Russia                            Russia    0.719991
267      Kabul  Afghanistan       Oslo       Norway                            Norway    0.575744
268      Kabul  Afghanistan     Ottawa       Canada                           Ontario    0.551449
269      Kabul  Afghanistan      Paris       France                            France    0.608817
270      Kabul  Afghanistan       Rome        Italy                             Italy    0.537544
271      Kabul  Afghanistan  Stockholm       Sweden                            Sweden    0.584907
272      Kabul  Afghanistan     Tehran         Iran                              Iran    0.780715
273      Kabul  Afghanistan      Tokyo        Japan                             Japan    0.669503
274      Kabul  Afghanistan     Athens       Greece                            Greece    0.549460
275      Kabul  Afghanistan    Baghdad         Iraq                              Iraq    0.860798
276      Kabul  Afghanistan    Bangkok     Thailand                          Thailand    0.689165
277      Kabul  Afghanistan    Beijing        China                             China    0.683789
278      Kabul  Afghanistan     Berlin      Germany                           Germany    0.610547
279      Kabul  Afghanistan       Bern  Switzerland                           Bern_NC    0.423385
280      Kabul  Afghanistan      Cairo        Egypt                             Egypt    0.670543
281      Kabul  Afghanistan   Canberra    Australia                           Mr_Rudd    0.603455
282      Kabul  Afghanistan      Hanoi      Vietnam                           Vietnam    0.751427
283      Kabul  Afghanistan     Havana         Cuba                              Cuba    0.720594
284      Kabul  Afghanistan   Helsinki      Finland                           Finland    0.576863
285      Kabul  Afghanistan  Islamabad     Pakistan                          Pakistan    0.746331
286     London      England     Madrid        Spain                             Spain    0.608785
287     London      England     Moscow       Russia                            Russia    0.650272
288     London      England       Oslo       Norway                            Norway    0.568943
289     London      England     Ottawa       Canada                            Canada    0.525619
290     London      England      Paris       France                            France    0.667638
291     London      England       Rome        Italy                             Italy    0.571597
292     London      England  Stockholm       Sweden                            Sweden    0.661099
293     London      England     Tehran         Iran                              Iran    0.644378
294     London      England      Tokyo        Japan                             Japan    0.688949
295     London      England     Athens       Greece                            Greece    0.529372
296     London      England    Baghdad         Iraq                             Iraqi    0.585401
297     London      England    Bangkok     Thailand                          Thailand    0.626410
298     London      England    Beijing        China                             China    0.618119
299     London      England     Berlin      Germany                           Germany    0.595234
300     London      England       Bern  Switzerland                           Hanover    0.453037
301     London      England      Cairo        Egypt                             Egypt    0.564149
302     London      England   Canberra    Australia                         Australia    0.605489
303     London      England      Hanoi      Vietnam                          Viet_Nam    0.581042
304     London      England     Havana         Cuba                              Cuba    0.562749
305     London      England   Helsinki      Finland                           Finland    0.621545
306     London      England  Islamabad     Pakistan                          Pakistan    0.665464
307     London      England      Kabul  Afghanistan                            Afghan    0.573312
308     Madrid        Spain     Moscow       Russia                            Russia    0.813678
309     Madrid        Spain       Oslo       Norway                            Norway    0.723019
310     Madrid        Spain     Ottawa       Canada                            Canada    0.681481
311     Madrid        Spain      Paris       France                            France    0.760995
312     Madrid        Spain       Rome        Italy                             Italy    0.700469
313     Madrid        Spain  Stockholm       Sweden                            Sweden    0.782234
314     Madrid        Spain     Tehran         Iran                              Iran    0.758876
315     Madrid        Spain      Tokyo        Japan                             Japan    0.801096
316     Madrid        Spain     Athens       Greece                            Greece    0.689848
317     Madrid        Spain    Baghdad         Iraq                             Mosul    0.657950
318     Madrid        Spain    Bangkok     Thailand                          Thailand    0.770138
319     Madrid        Spain    Beijing        China                             China    0.774413
320     Madrid        Spain     Berlin      Germany                           Germany    0.750168
321     Madrid        Spain       Bern  Switzerland                       Switzerland    0.485403
322     Madrid        Spain      Cairo        Egypt                             Egypt    0.732666
323     Madrid        Spain   Canberra    Australia                         Australia    0.706892
324     Madrid        Spain      Hanoi      Vietnam                          Viet_Nam    0.735968
325     Madrid        Spain     Havana         Cuba                              Cuba    0.722269
326     Madrid        Spain   Helsinki      Finland                           Finland    0.763807
327     Madrid        Spain  Islamabad     Pakistan                          Pakistan    0.717659
328     Madrid        Spain      Kabul  Afghanistan                             Herat    0.616339
329     Madrid        Spain     London      England                           Britain    0.678473
330     Moscow       Russia       Oslo       Norway                            Norway    0.760637
331     Moscow       Russia     Ottawa       Canada                            Canada    0.721634
332     Moscow       Russia      Paris       France                            France    0.805041
333     Moscow       Russia       Rome        Italy                             Italy    0.707491
334     Moscow       Russia  Stockholm       Sweden                            Sweden    0.805423
335     Moscow       Russia     Tehran         Iran                              Iran    0.877686
336     Moscow       Russia      Tokyo        Japan                             Japan    0.877388
337     Moscow       Russia     Athens       Greece                            Greece    0.674452
338     Moscow       Russia    Baghdad         Iraq                             Mosul    0.715552
339     Moscow       Russia    Bangkok     Thailand                          Thailand    0.842517
340     Moscow       Russia    Beijing        China                             China    0.868748
341     Moscow       Russia     Berlin      Germany                           Germany    0.777425
342     Moscow       Russia       Bern  Switzerland                       Switzerland    0.485169
343     Moscow       Russia      Cairo        Egypt                             Egypt    0.801857
344     Moscow       Russia   Canberra    Australia                         Australia    0.759348
345     Moscow       Russia      Hanoi      Vietnam                          Viet_Nam    0.769152
346     Moscow       Russia     Havana         Cuba                              Cuba    0.788674
347     Moscow       Russia   Helsinki      Finland                           Finland    0.777961
348     Moscow       Russia  Islamabad     Pakistan                          Pakistan    0.836984
349     Moscow       Russia      Kabul  Afghanistan                            Afghan    0.720855
350     Moscow       Russia     London      England                           Britain    0.702881
351     Moscow       Russia     Madrid        Spain                             Spain    0.790508
352       Oslo       Norway     Ottawa       Canada                            Canada    0.680922
353       Oslo       Norway      Paris       France                            France    0.731561
354       Oslo       Norway       Rome        Italy                             Italy    0.681796
355       Oslo       Norway  Stockholm       Sweden                            Sweden    0.822219
356       Oslo       Norway     Tehran         Iran                              Iran    0.752260
357       Oslo       Norway      Tokyo        Japan                             Japan    0.778591
358       Oslo       Norway     Athens       Greece                            Greece    0.631377
359       Oslo       Norway    Baghdad         Iraq                             Mosul    0.650943
360       Oslo       Norway    Bangkok     Thailand                          Thailand    0.738795
361       Oslo       Norway    Beijing        China                             China    0.716382
362       Oslo       Norway     Berlin      Germany                           Germany    0.721919
363       Oslo       Norway       Bern  Switzerland                       Switzerland    0.512791
364       Oslo       Norway      Cairo        Egypt                             Egypt    0.666234
365       Oslo       Norway   Canberra    Australia                         Australia    0.675090
366       Oslo       Norway      Hanoi      Vietnam                          Viet_Nam    0.664477
367       Oslo       Norway     Havana         Cuba                              Cuba    0.687487
368       Oslo       Norway   Helsinki      Finland                           Finland    0.780600
369       Oslo       Norway  Islamabad     Pakistan                          Pakistan    0.727292
370       Oslo       Norway      Kabul  Afghanistan                            Afghan    0.632610
371       Oslo       Norway     London      England                           Britain    0.645633
372       Oslo       Norway     Madrid        Spain                             Spain    0.730202
373       Oslo       Norway     Moscow       Russia                            Russia    0.796157
374     Ottawa       Canada      Paris       France                            France    0.693992
375     Ottawa       Canada       Rome        Italy                             Italy    0.629300
376     Ottawa       Canada  Stockholm       Sweden                            Sweden    0.676618
377     Ottawa       Canada     Tehran         Iran                              Iran    0.735088
378     Ottawa       Canada      Tokyo        Japan                             Japan    0.767851
379     Ottawa       Canada     Athens       Greece                            Greece    0.606501
380     Ottawa       Canada    Baghdad         Iraq                             Mosul    0.631944
381     Ottawa       Canada    Bangkok     Thailand                          Thailand    0.711449
382     Ottawa       Canada    Beijing        China                             China    0.734902
383     Ottawa       Canada     Berlin      Germany                           Germany    0.705148
384     Ottawa       Canada       Bern  Switzerland                       Switzerland    0.504916
385     Ottawa       Canada      Cairo        Egypt                             Egypt    0.643914
386     Ottawa       Canada   Canberra    Australia                         Australia    0.782246
387     Ottawa       Canada      Hanoi      Vietnam                          Viet_Nam    0.664491
388     Ottawa       Canada     Havana         Cuba                              Cuba    0.670131
389     Ottawa       Canada   Helsinki      Finland                           Finland    0.652415
390     Ottawa       Canada  Islamabad     Pakistan                          Pakistan    0.689797
391     Ottawa       Canada      Kabul  Afghanistan                            Afghan    0.567103
392     Ottawa       Canada     London      England                                UK    0.636229
393     Ottawa       Canada     Madrid        Spain                             Spain    0.707351
394     Ottawa       Canada     Moscow       Russia                            Russia    0.782292
395     Ottawa       Canada       Oslo       Norway                            Norway    0.673111
396      Paris       France       Rome        Italy                             Italy    0.714356
397      Paris       France  Stockholm       Sweden                            Sweden    0.792445
398      Paris       France     Tehran         Iran                              Iran    0.777115
399      Paris       France      Tokyo        Japan                             Japan    0.816777
400      Paris       France     Athens       Greece                            Greece    0.637862
401      Paris       France    Baghdad         Iraq                             Mosul    0.660942
402      Paris       France    Bangkok     Thailand                          Thailand    0.750831
403      Paris       France    Beijing        China                             China    0.764479
404      Paris       France     Berlin      Germany                           Germany    0.790125
405      Paris       France       Bern  Switzerland                       Switzerland    0.487897
406      Paris       France      Cairo        Egypt                             Egypt    0.706211
407      Paris       France   Canberra    Australia                         Australia    0.705987
408      Paris       France      Hanoi      Vietnam                          Viet_Nam    0.712144
409      Paris       France     Havana         Cuba                              Cuba    0.716515
410      Paris       France   Helsinki      Finland                           Finland    0.765445
411      Paris       France  Islamabad     Pakistan                          Pakistan    0.756577
412      Paris       France      Kabul  Afghanistan                            Afghan    0.669233
413      Paris       France     London      England                           Britain    0.736894
414      Paris       France     Madrid        Spain                             Spain    0.777616
415      Paris       France     Moscow       Russia                            Russia    0.834156
416      Paris       France       Oslo       Norway                            Norway    0.740658
417      Paris       France     Ottawa       Canada                            Canada    0.676527
418       Rome        Italy  Stockholm       Sweden                            Sweden    0.765019
419       Rome        Italy     Tehran         Iran                              Iran    0.722396
420       Rome        Italy      Tokyo        Japan                             Japan    0.765954
421       Rome        Italy     Athens       Greece                            Greece    0.658221
422       Rome        Italy    Baghdad         Iraq                             Iraqi    0.627999
423       Rome        Italy    Bangkok     Thailand                          Thailand    0.736771
424       Rome        Italy    Beijing        China                             China    0.738449
425       Rome        Italy     Berlin      Germany                           Germany    0.792445
426       Rome        Italy       Bern  Switzerland                       Switzerland    0.586061
427       Rome        Italy      Cairo        Egypt                             Egypt    0.691736
428       Rome        Italy   Canberra    Australia                         Australia    0.703534
429       Rome        Italy      Hanoi      Vietnam                          Viet_Nam    0.671867
430       Rome        Italy     Havana         Cuba                              Cuba    0.665256
431       Rome        Italy   Helsinki      Finland                           Finland    0.744844
432       Rome        Italy  Islamabad     Pakistan                          Pakistan    0.737587
433       Rome        Italy      Kabul  Afghanistan                            Afghan    0.649258
434       Rome        Italy     London      England                                UK    0.623057
435       Rome        Italy     Madrid        Spain                             Spain    0.748576
436       Rome        Italy     Moscow       Russia                            Russia    0.756104
437       Rome        Italy       Oslo       Norway                            Norway    0.714057
438       Rome        Italy     Ottawa       Canada                            Canada    0.650823
439       Rome        Italy      Paris       France                            France    0.748613
440  Stockholm       Sweden     Tehran         Iran                              Iran    0.767408
441  Stockholm       Sweden      Tokyo        Japan                             Japan    0.819851
442  Stockholm       Sweden     Athens       Greece                            Greece    0.644516
443  Stockholm       Sweden    Baghdad         Iraq                             Mosul    0.674406
444  Stockholm       Sweden    Bangkok     Thailand                          Thailand    0.760632
445  Stockholm       Sweden    Beijing        China                             China    0.746937
446  Stockholm       Sweden     Berlin      Germany                           Germany    0.791751
